Candidate,Party,EVM Votes,Postal Votes,Total Votes,% of Votes,Constituency,Constituency number
NOTA,None of the Above,1204,7,1211,0.46,AgraRural,90
ANUJ SHARMA,Indian National Congress,4860,7,4867,2.33,AgraSouth,88
YOGENDRA UPADHYAYA,Bharatiya Janata Party,109001,261,109262,52.39,AgraSouth,88
RAVI BHARADWAJ,Bahujan Samaj Party,38118,101,38219,18.32,AgraSouth,88
VINAY AGARWAL,Samajwadi Party,52467,155,52622,25.23,AgraSouth,88
ALAMGIR,Peace Party,419,0,419,0.2,AgraSouth,88
MOHD KAMIL,Indian Union Muslim League,130,0,130,0.06,AgraSouth,88
DEREK SMITH,Adarsh Samaj Party,105,0,105,0.05,AgraSouth,88
PREM SINGH,Lokpriya Rashtrawadi Party,471,0,471,0.23,AgraSouth,88
RAMJANI,Aam Aadmi Party,955,4,959,0.46,AgraSouth,88
RASHID ALI CHOUDHARY,Aazad Samaj Party (Kanshi Ram),566,0,566,0.27,AgraSouth,88
NOTA,None of the Above,946,3,949,0.46,AgraSouth,88
TRIBHUWAN RAM,Bharatiya Janata Party,100812,276,101088,41.25,Ajagara,385
RAGHUNATH CHAUDHARI,Bahujan Samaj Party,42153,148,42301,17.26,Ajagara,385
HEMA DEVI,Indian National Congress,2112,18,2130,0.87,Ajagara,385
BAGESHWAR,Sarvjan Sanatan Party,564,2,566,0.23,Ajagara,385
RAJPATI BANVASI,Rashtriya Vikas Manch Party,376,2,378,0.15,Ajagara,385
VIDYA DEVI,Bahujan Mukti Party,315,0,315,0.13,Ajagara,385
SATYA PRAKASH,Aam Aadmi Party,671,7,678,0.28,Ajagara,385
Sita Ram,Jan Adhikar Party,1763,3,1766,0.72,Ajagara,385
SUNIL SONKAR,Suheldev Bharatiya Samaj Party,91460,468,91928,37.51,Ajagara,385
ANOOP SHRAMIK,Independent,1030,1,1031,0.42,Ajagara,385
VIDYA PRAKASH,Independent,822,1,823,0.34,Ajagara,385
NOTA,None of the Above,2067,3,2070,0.84,Ajagara,385
CHANDRA PRAKASH VERMA,Bahujan Samaj Party,53121,277,53398,24.85,Akbarpur,281
DHARMRAJ NISHAD,Bharatiya Janata Party,69397,198,69595,32.39,Akbarpur,281
PRIYANKA,Indian National Congress,2729,6,2735,1.27,Akbarpur,281
RAM ACHAL RAJBHAR,Samajwadi Party,81215,716,81931,38.14,Akbarpur,281
CHANDRESH,Aazad Samaj Party (Kanshi Ram),869,1,870,0.4,Akbarpur,281
JITENDRA KUMAR,Bahujan Mukti Party,1078,4,1082,0.5,Akbarpur,281
DURVIJAY PAL,Voters Party  International,449,0,449,0.21,Akbarpur,281
MANOJ KUMAR,Rashtriya Jan Sahyog Party,308,0,308,0.14,Akbarpur,281
MOOL CHAND JAISWAL,Aam Aadmi Party,476,1,477,0.22,Akbarpur,281
SURESH KUMAR,Moulik Adhikar Party,896,1,897,0.42,Akbarpur,281
BRIJESH KUMAR,Independent,661,0,661,0.31,Akbarpur,281
BHANU PRATAP,Independent,784,0,784,0.36,Akbarpur,281
NOTA,None of the Above,1655,1,1656,0.77,Akbarpur,281
Ambrish Singh Gaur,Indian National Congress,1636,10,1646,0.78,Akbarpur-Raniya,206
Pratibha Shukla,Bharatiya Janata Party,92550,277,92827,43.82,Akbarpur-Raniya,206
Dr. Ram Prakash Kushwaha,Samajwadi Party,78996,414,79410,37.49,Akbarpur-Raniya,206
Vinod Kumar Pal,Bahujan Samaj Party,32136,97,32233,15.22,Akbarpur-Raniya,206
Kamlesh Kumar,Jan Adhikar Party,615,2,617,0.29,Akbarpur-Raniya,206
Nausad Babu,Peace Party,230,0,230,0.11,Akbarpur-Raniya,206
Rajesh Kumar,Peoples Party of India (Democratic),622,0,622,0.29,Akbarpur-Raniya,206
Vivesh Kumar,Aam Aadmi Party,1129,7,1136,0.54,Akbarpur-Raniya,206
Brij Bhushan,Independent,432,2,434,0.2,Akbarpur-Raniya,206
Rameshwar,Independent,676,0,676,0.32,Akbarpur-Raniya,206
Vipin Kumar,Independent,808,0,808,0.38,Akbarpur-Raniya,206
NOTA,None of the Above,1189,2,1191,0.56,Akbarpur-Raniya,206
Keshradevi Gautam,Bahujan Samaj Party,52851,210,53061,25.43,Alapur,279
Tribhuwan Dutt,Samajwadi Party,73407,758,74165,35.55,Alapur,279
Triveniram,Bharatiya Janata Party,64478,304,64782,31.05,Alapur,279
Sattyambada,Indian National Congress,1744,4,1748,0.84,Alapur,279
Kheladi,Moulik Adhikar Party,651,0,651,0.31,Alapur,279
R.C. Gond,Lok Dal,492,2,494,0.24,Alapur,279
Ghanshyam,Jan Adhikar Party,1693,2,1695,0.81,Alapur,279
Nikesh,Aam Aadmi Party,540,4,544,0.26,Alapur,279
Nikhil Kumar,Aazad Samaj Party (Kanshi Ram),980,0,980,0.47,Alapur,279
Premlata,Vikassheel Insaan Party,6762,16,6778,3.25,Alapur,279
Ram Chet,Bahujan Mukti Party,704,2,706,0.34,Alapur,279
Shailendra Kumar,Voters Party  International,634,0,634,0.3,Alapur,279
Ram Bachan,Independent,871,0,871,0.42,Alapur,279
NOTA,None of the Above,1533,5,1538,0.74,Alapur,279
RAMESHWAR SINGH YADAV,Samajwadi Party,98465,598,99063,43.76,Aliganj,103
SAOOD ALI KHAN URF JUNAID MIYAN,Bahujan Samaj Party,17687,64,17751,7.84,Aliganj,103
SATYAPAL SINGH RATHORE,Bharatiya Janata Party,102576,297,102873,45.44,Aliganj,103
SUBHASH CHANDRA,Indian National Congress,1026,5,1031,0.46,Aliganj,103
KAILASH LODHI,Jan Adhikar Party,1651,1,1652,0.73,Aliganj,103
RAHUL URF RAHUL KUMAR PATHAK,Aam Aadmi Party,213,5,218,0.1,Aliganj,103
ANURAG SINGH,Independent,131,0,131,0.06,Aliganj,103
GAURAV RATHORE,Independent,289,1,290,0.13,Aliganj,103
DEVENDRA SINGH RATHORE,Independent,140,0,140,0.06,Aliganj,103
RAM BRAJESH,Independent,273,0,273,0.12,Aliganj,103
VAKIL SHAH,Independent,1198,0,1198,0.53,Aliganj,103
SAMYAK CHANDRA,Independent,492,0,492,0.22,Aliganj,103
NOTA,None of the Above,1263,0,1263,0.56,Aliganj,103
ZAFAR ALAM,Samajwadi Party,107102,501,107603,42.6,Aligarh,76
MUKTA RAJA,Bharatiya Janata Party,119920,469,120389,47.66,Aligarh,76
RAZIA KHAN,Bahujan Samaj Party,18165,108,18273,7.23,Aligarh,76
MOHD SALMAN IMTIAZ,Indian National Congress,2281,11,2292,0.91,Aligarh,76
DILEEP KUMAR,Independent,177,1,178,0.07,Aligarh,76
MONIKA THAPAR,Aam Aadmi Party,856,5,861,0.34,Aligarh,76
RAMGOPAL,Independent,843,0,843,0.33,Aligarh,76
RIHANUDDIN,Independent,263,0,263,0.1,Aligarh,76
RENUKA SHARMA,Independent,163,0,163,0.06,Aligarh,76
KESHAV DEV,Independent,195,0,195,0.08,Aligarh,76
VINOD KUMAR,Independent,470,1,471,0.19,Aligarh,76
NOTA,None of the Above,1048,8,1056,0.42,Aligarh,76
ANUGRAH NARAIN SINGH,Indian National Congress,23362,209,23571,13.4,AllahabadNorth,262
SANJAY GOSWAMI,Bahujan Samaj Party,9491,123,9614,5.46,AllahabadNorth,262
SANDEEP YADAV,Samajwadi Party,41108,899,42007,23.88,AllahabadNorth,262
HARSHVARDHAN BAJPAI,Bharatiya Janata Party,96039,851,96890,55.07,AllahabadNorth,262
Mo. ALI,All India Majlis-E-Ittehadul Muslimeen,858,2,860,0.49,AllahabadNorth,262
RATAN SRIVASTAVA,Rashtravadi Vikas Party,353,4,357,0.2,AllahabadNorth,262
RAJEEV KUMAR PANDEY,Akhil Bharatiya Socialist Party,255,4,259,0.15,AllahabadNorth,262
SANJIV MISHRA,Aam Aadmi Party,1245,4,1249,0.71,AllahabadNorth,262
ANIL,Independent,215,0,215,0.12,AllahabadNorth,262
NOTA,None of the Above,910,9,919,0.52,AllahabadNorth,262
SANTOSH PAL,Bhartiya Shakti Chetna Party,183,0,183,0.1,AllahabadSouth,263
"NAND GOPAL GUPTA ""NANDI""",Bharatiya Janata Party,97487,377,97864,54.14,AllahabadSouth,263
GOPAL SWAROOP JOSHI,Independent,254,0,254,0.14,AllahabadSouth,263
"""DEVENDRA MISHRA NAGRAHA""",Bahujan Samaj Party,4141,67,4208,2.33,AllahabadSouth,263
RAISH CHANDRA SHUKLA,Samajwadi Party,71070,612,71682,39.66,AllahabadSouth,263
ALTAF AHMAD,Aam Aadmi Party,1109,6,1115,0.62,AllahabadSouth,263
ALPANA NISHAD,Indian National Congress,2091,7,2098,1.16,AllahabadSouth,263
KAMALA PRASAD,Ambedkar Yug Party,128,1,129,0.07,AllahabadSouth,263
KAILASH CHANDRA KESARWANI,Samyak Party,110,0,110,0.06,AllahabadSouth,263
MOHAMMAD FARHAN,All India Majlis-E-Ittehadul Muslimeen,1530,3,1533,0.85,AllahabadSouth,263
KAMALA KANT,Independent,214,0,214,0.12,AllahabadSouth,263
NAMAN JEET SINGH,Jansatta Dal Loktantrik,269,1,270,0.15,AllahabadSouth,263
TARUN SRIVASTAVA,Independent,254,0,254,0.14,AllahabadSouth,263
NOTA,None of the Above,828,3,831,0.46,AllahabadSouth,263
RICHA SINGH,Samajwadi Party,88372,454,88826,39.86,AllahabadWest,261
GULAM QADIR,Bahujan Samaj Party,7575,51,7626,3.42,AllahabadWest,261
TASLEEM UDDIN,Indian National Congress,2288,7,2295,1.03,AllahabadWest,261
SIDHARTH NATH SINGH,Bharatiya Janata Party,118383,376,118759,53.29,AllahabadWest,261
AJEET KUMAR CHAUDHARY,Peoples Party of India (Democratic),1085,1,1086,0.49,AllahabadWest,261
KAMLESH KUMAR SINGH,Parivartan Samaj Party,360,0,360,0.16,AllahabadWest,261
DILSHAD AHMAD,National Democratic Peoples Front,260,0,260,0.12,AllahabadWest,261
ADV. SUSHMITA RAGHAV,Aam Aadmi Party,595,6,601,0.27,AllahabadWest,261
AJAY KUMAR GUPTA,Independent,459,1,460,0.21,AllahabadWest,261
KAMAR JAHAN,Independent,358,0,358,0.16,AllahabadWest,261
GANESH JI TRIPATHi,Independent,337,1,338,0.15,AllahabadWest,261
SAKLAIN MUSHTAK,Independent,374,0,374,0.17,AllahabadWest,261
NOTA,None of the Above,1514,4,1518,0.68,AllahabadWest,261
DIVYA SHARMA,Indian National Congress,1337,5,1342,0.7,Amanpur,101
SATYABHAN,Samajwadi Party,52700,348,53048,27.74,Amanpur,101
SUBHASH CHANDRA,Bahujan Samaj Party,35227,145,35372,18.5,Amanpur,101
HARIOM,Bharatiya Janata Party,95973,404,96377,50.4,Amanpur,101
ARJUN SINGH,Jan Adhikar Party,1096,3,1099,0.57,Amanpur,101
ASHISH KUMAR,India Janshakti Party,180,0,180,0.09,Amanpur,101
MANOJ KUMAR,Aam Aadmi Party,545,2,547,0.29,Amanpur,101
USHA,Independent,156,1,157,0.08,Amanpur,101
KAPIL KUMAR,Independent,328,7,335,0.18,Amanpur,101
JITENDRA,Independent,707,1,708,0.37,Amanpur,101
MAHENDRA PAL SINGH,Independent,590,2,592,0.31,Amanpur,101
VINEET SHAKYA,Independent,583,0,583,0.3,Amanpur,101
NOTA,None of the Above,885,3,888,0.46,Amanpur,101
ASHISH SHUKLA,Indian National Congress,14024,56,14080,7.42,Amethi,186
MAHARAJI PRAJAPATI,Samajwadi Party,87756,461,88217,46.46,Amethi,186
RAGINI,Bahujan Samaj Party,10165,37,10202,5.37,Amethi,186
DR.SANJAY SINH,Bharatiya Janata Party,69819,302,70121,36.93,Amethi,186
ANURAG,Aam Aadmi Party,931,4,935,0.49,Amethi,186
ANJU PAL,Rashtra Uday Party,792,1,793,0.42,Amethi,186
KRISHNA KUMAR,Jan Adhikar Party,492,2,494,0.26,Amethi,186
PRADEEP KUMAR,Rashtriya Democratic Front,361,0,361,0.19,Amethi,186
RAJU,Vikassheel Insaan Party,332,1,333,0.18,Amethi,186
RAMRAJ,Moulik Adhikar Party,670,0,670,0.35,Amethi,186
SHATRUNJAY PRATAP SINGH,Log Party,378,0,378,0.2,Amethi,186
ASHOK KUMAR,Independent,574,0,574,0.3,Amethi,186
PAWAN,Independent,522,0,522,0.27,Amethi,186
SANJAY SINGH,Independent,977,1,978,0.52,Amethi,186
NOTA,None of the Above,1204,2,1206,0.64,Amethi,186
Amit Kumar Singh,Bahujan Samaj Party,12999,50,13049,7.01,Amritpur,193
Dr. JITENDRA SINGH YADAV,Samajwadi Party,53674,488,54162,29.1,Amritpur,193
Shubham Tiwari,Indian National Congress,1306,7,1313,0.71,Amritpur,193
Sushil Kumar Shakya,Bharatiya Janata Party,98583,265,98848,53.1,Amritpur,193
Ajay Singh Rajput,Bahujan Mukti Party,980,0,980,0.53,Amritpur,193
Shyamveer Singh,Bharatiya Nagrik Party,154,0,154,0.08,Amritpur,193
SONPAL SINGH,Bharatiya Subhash Sena,251,0,251,0.13,Amritpur,193
Udayveer,Independent,115,0,115,0.06,Amritpur,193
Dharmveer,Independent,256,0,256,0.14,Amritpur,193
Narendra Singh Yadav,Independent,12387,62,12449,6.69,Amritpur,193
Roshan Lal,Independent,684,0,684,0.37,Amritpur,193
SURESH KUMAR,Independent,2118,2,2120,1.14,Amritpur,193
Santosh,Independent,827,0,827,0.44,Amritpur,193
NOTA,None of the Above,941,0,941,0.51,Amritpur,193
MEHBOOB ALI,Samajwadi Party,127865,870,128735,57.43,Amroha,41
MOHAMMED NAVED AYAZ,Bahujan Samaj Party,34405,180,34585,15.43,Amroha,41
RAM SINGH,Bharatiya Janata Party,57289,410,57699,25.74,Amroha,41
SALEEM KHAN,Indian National Congress,830,16,846,0.38,Amroha,41
MOH. AHSAN,Pachchasi Parivartan Samaj Party,202,0,202,0.09,Amroha,41
ISLAM,Aam Aadmi Party,407,6,413,0.18,Amroha,41
SHIVKUMAR,Aazad Samaj Party (Kanshi Ram),226,0,226,0.1,Amroha,41
AKBAR ALI,Independent,237,0,237,0.11,Amroha,41
SHAKINA,Independent,236,0,236,0.11,Amroha,41
NOTA,None of the Above,968,3,971,0.43,Amroha,41
Gajendra Singh,Indian National Congress,13264,57,13321,5.58,Anupshahr,67
Rameshvar,Bahujan Samaj Party,47689,290,47979,20.11,Anupshahr,67
K.K. Sharma,Nationalist Congress Party,44025,155,44180,18.52,Anupshahr,67
Sanjay Kumar Sharma,Bharatiya Janata Party,124878,724,125602,52.64,Anupshahr,67
Anita,Vikassheel Insaan Party,1389,5,1394,0.58,Anupshahr,67
Rashmi,Shiv Sena,324,4,328,0.14,Anupshahr,67
Sakir,Aazad Samaj Party (Kanshi Ram),455,0,455,0.19,Anupshahr,67
Harendra Singh,Aam Aadmi Party,1092,9,1101,0.46,Anupshahr,67
Bhupendra Singh,Independent,858,1,859,0.36,Anupshahr,67
Satendera Singh,Independent,1262,0,1262,0.53,Anupshahr,67
Hukam Singh,Independent,772,2,774,0.32,Anupshahr,67
NOTA,None of the Above,1342,3,1345,0.56,Anupshahr,67
OMVEER,Indian National Congress,2306,1,2307,1.2,Aonla,126
DHARMPAL SINGH,Bharatiya Janata Party,88789,167,88956,46.45,Aonla,126
PT. RADHA KRISHAN SHARMA,Samajwadi Party,70230,302,70532,36.83,Aonla,126
LAXMAN PRASAD,Bahujan Samaj Party,18727,46,18773,9.8,Aonla,126
MAKKHAN,Bahujan Mukti Party,531,0,531,0.28,Aonla,126
MUEENUDDIN,Aazad Samaj Party (Kanshi Ram),346,0,346,0.18,Aonla,126
RAM SINGH MAURYA,Aam Aadmi Party,1364,2,1366,0.71,Aonla,126
SHIVADAS VERMA,Vikassheel Insaan Party,514,0,514,0.27,Aonla,126
JEERAJ SINGH,Independent,5370,12,5382,2.81,Aonla,126
DEVENDRA MAITHIL,Independent,1590,1,1591,0.83,Aonla,126
NOTA,None of the Above,1211,0,1211,0.63,Aonla,126
AMITABH BAJPAI,Samajwadi Party,76593,304,76897,50.56,AryaNagar,214
TONI JAISWAL,Bahujan Samaj Party,1371,16,1387,0.91,AryaNagar,214
PRAMOD KUMAR,Indian National Congress,3284,25,3309,2.18,AryaNagar,214
SURESH AWASTHI,Bharatiya Janata Party,68706,267,68973,45.35,AryaNagar,214
ANUJ KUMAR SHUKLA,Aam Aadmi Party,811,7,818,0.54,AryaNagar,214
GUDDI DIXIT,RASHTRIYA VIKLANG PARTY,77,0,77,0.05,AryaNagar,214
PAWAN KUMAR TIWARI,Independent,91,0,91,0.06,AryaNagar,214
NOTA,None of the Above,543,4,547,0.36,AryaNagar,214
PINKI SINGH,Samajwadi Party,111270,382,111652,42.92,Asmoli,32
MARGHOOB ALAM,Indian National Congress,1506,5,1511,0.58,Asmoli,32
RAFATULLA,Bahujan Samaj Party,42439,73,42512,16.34,Asmoli,32
HARENDRA KUMAR,Bharatiya Janata Party,86228,218,86446,33.23,Asmoli,32
ANJU,Aam Aadmi Party,813,2,815,0.31,Asmoli,32
SHAKEEL AHMED,All India Majlis-E-Ittehadul Muslimeen,13019,5,13024,5.01,Asmoli,32
GUFRAN KHAN,Independent,207,0,207,0.08,Asmoli,32
TAUFEEQ,Independent,264,0,264,0.1,Asmoli,32
NAVKESH,Independent,654,1,655,0.25,Asmoli,32
PAVAN KUMAR,Independent,493,0,493,0.19,Asmoli,32
MAHAVEER,Independent,785,0,785,0.3,Asmoli,32
NOTA,None of the Above,1787,1,1788,0.69,Asmoli,32
DR. OMVIR SINGH,Bahujan Samaj Party,23078,56,23134,9.58,Atrauli,73
DHARMENDRA KUMAR,Indian National Congress,1325,6,1331,0.55,Atrauli,73
VIRESH YADAV,Samajwadi Party,85804,563,86367,35.75,Atrauli,73
SANDEEP KUMAR SINGH,Bharatiya Janata Party,125142,549,125691,52.03,Atrauli,73
KAILASH KUMAR,Bahujan Mukti Party,811,2,813,0.34,Atrauli,73
KHEM SINGH,Aam Aadmi Party,344,3,347,0.14,Atrauli,73
BRIJESH KUMAR,Lok Dal,239,1,240,0.1,Atrauli,73
AKHALESH DEVI,Independent,367,1,368,0.15,Atrauli,73
MANJU DEVI URF MANJU RANI,Independent,947,1,948,0.39,Atrauli,73
RAHUL SINGH,Independent,615,0,615,0.25,Atrauli,73
SALEEM KHAN,Independent,578,0,578,0.24,Atrauli,73
NOTA,None of the Above,1146,3,1149,0.48,Atrauli,73
RAMESH CHAND,Indian National Congress,2196,16,2212,0.96,Atrauliya,343
SAROJ KUMAR,Bahujan Samaj Party,50937,356,51293,22.17,Atrauliya,343
DR. SANGRAM,Samajwadi Party,90393,1109,91502,39.55,Atrauliya,343
UMESH KUMAR MAURYA,Jan Adhikar Party,2176,5,2181,0.94,Atrauliya,343
PRASHANT  SINGH,Nirbal Indian Shoshit Hamara Aam Dal,73872,383,74255,32.1,Atrauliya,343
RAMESH KUMAR,Aam Aadmi Party,1220,3,1223,0.53,Atrauliya,343
RAMDHARI,Rashtriya Bhagidari Party,1910,4,1914,0.83,Atrauliya,343
SAURABH NISHAD,Vikassheel Insaan Party,3683,10,3693,1.6,Atrauliya,343
RAM DEVI,Independent,812,2,814,0.35,Atrauliya,343
DR.SEEMA PANDEY,Independent,849,3,852,0.37,Atrauliya,343
NOTA,None of the Above,1395,7,1402,0.61,Atrauliya,343
Anjani,Samajwadi Party,91427,617,92044,40.95,Aurai,394
Kamala Shankar,Bahujan Samaj Party,28361,52,28413,12.64,Aurai,394
Dinanath Bhashkar,Bharatiya Janata Party,93438,253,93691,41.69,Aurai,394
Sanjoo Devi,Indian National Congress,2690,4,2694,1.2,Aurai,394
Kavita Rai,Aam Aadmi Party,1009,0,1009,0.45,Aurai,394
Tedhai,All India Majlis-E-Ittehadul Muslimeen,2188,2,2190,0.97,Aurai,394
Babita,Vikassheel Insaan Party,2497,2,2499,1.11,Aurai,394
NOTA,None of the Above,2204,1,2205,0.98,Aurai,394
Gudiya Katheriya,Bharatiya Janata Party,88132,499,88631,45.28,Auraiya,204
Jitendra Kumar Dohare,Samajwadi Party,65374,810,66184,33.81,Auraiya,204
Ravi Shastri Dohrey,Bahujan Samaj Party,35997,162,36159,18.47,Auraiya,204
Sarita Dohare,Indian National Congress,1133,10,1143,0.58,Auraiya,204
Muhar Singh Ambadi,Bahujan Mukti Party,498,3,501,0.26,Auraiya,204
Vinay Gautam Advocate,Aazad Samaj Party (Kanshi Ram),608,2,610,0.31,Auraiya,204
Suneeta Devi,Aam Aadmi Party,312,6,318,0.16,Auraiya,204
Anil Kumar,Independent,127,1,128,0.07,Auraiya,204
Jayveer  Singh,Independent,164,2,166,0.08,Auraiya,204
Satish Chandra,Independent,360,0,360,0.18,Auraiya,204
Sani Gautam,Independent,354,0,354,0.18,Auraiya,204
NOTA,None of the Above,1188,4,1192,0.61,Auraiya,204
CHANDAN SINGH,Bahujan Samaj Party,21990,55,22045,13.74,AyahShah,241
Vikas Gupta,Bharatiya Janata Party,71073,158,71231,44.4,AyahShah,241
VISHAMBHAR PRASAD NISHAD,Samajwadi Party,57815,410,58225,36.3,AyahShah,241
SUSHIL SINGH PATEL,Communist Party of India,1605,0,1605,1,AyahShah,241
HEMLATA,Indian National Congress,1743,10,1753,1.09,AyahShah,241
NARENDARA KUMAR,Lok Jan Shakti Party,297,0,297,0.19,AyahShah,241
LAL SINGH,Peoples Party of India (Democratic),645,0,645,0.4,AyahShah,241
VINOD KUMAR,Rashtriya Krantikari Samajwadi Party,344,0,344,0.21,AyahShah,241
SHEELAM DEVI,Bhartiya Shakti Chetna Party,518,5,523,0.33,AyahShah,241
ANURAG SINGH,Independent,1083,1,1084,0.68,AyahShah,241
SHYAMRANI,Independent,782,1,783,0.49,AyahShah,241
NOTA,None of the Above,1884,0,1884,1.17,AyahShah,241
TEJ NARAYAN,Samajwadi Party,92460,964,93424,40.4,Ayodhya,275
RAVI PRAKASH,Bahujan Samaj Party,17604,102,17706,7.66,Ayodhya,275
REETA,Indian National Congress,2001,10,2011,0.87,Ayodhya,275
VED PRAKASH,Bharatiya Janata Party,112785,629,113414,49.04,Ayodhya,275
SURYAKANT PANDEY,Communist Party of India,992,3,995,0.43,Ayodhya,275
BRAJENDRA DUTT TRIPATHI,Adarshwaadi Congress Party,236,0,236,0.1,Ayodhya,275
RAMESH KUMAR CHAUBEY,Bhartiya Shakti Chetna Party,267,1,268,0.12,Ayodhya,275
RAJESH KUMAR,Jan Adhikar Party (Loktantrik),800,1,801,0.35,Ayodhya,275
SUBHAM SRIVASTAV,Aam Aadmi Party,485,5,490,0.21,Ayodhya,275
SANJAY SHARMA,Moulik Adhikar Party,672,1,673,0.29,Ayodhya,275
NOTA,None of the Above,1238,2,1240,0.54,Ayodhya,275
AKHILESH KUMAR MISHRA,Bharatiya Janata Party,83995,782,84777,35.87,Azamgarh,347
DURGA PRASAD YADAV,Samajwadi Party,99114,1699,100813,42.66,Azamgarh,347
PRAVEEN KUMAR SINGH,Indian National Congress,2157,18,2175,0.92,Azamgarh,347
SUSHIL KUMAR SINGH,Bahujan Samaj Party,38978,303,39281,16.62,Azamgarh,347
RISHIKANT YADAV,Aazad Samaj Party (Kanshi Ram),640,1,641,0.27,Azamgarh,347
KAMAR KAMAL,All India Majlis-E-Ittehadul Muslimeen,5515,17,5532,2.34,Azamgarh,347
KRIPA SHANKAR PATHAK,Aam Aadmi Party,577,3,580,0.25,Azamgarh,347
SURYANATH,Bhartiya Gadar Party (S),456,1,457,0.19,Azamgarh,347
RAJIV KUMAR SINGH,Independent,600,4,604,0.26,Azamgarh,347
NOTA,None of the Above,1466,4,1470,0.62,Azamgarh,347
KESHAV PRASAD,Bharatiya Janata Party,30259,132,30391,18.22,Babaganj,245
GIRISH CHANDRA,Samajwadi Party,51108,407,51515,30.88,Babaganj,245
VEENA RANI,Indian National Congress,1492,9,1501,0.9,Babaganj,245
SUSHIL KUMAR,Bahujan Samaj Party,8691,32,8723,5.23,Babaganj,245
RAM PRATAP SAROJ,Bahujan Mukti Party,1242,3,1245,0.75,Babaganj,245
VIJAY PAL SAROJ,Lok Janshakti Party(Ram Vilas),2016,2,2018,1.21,Babaganj,245
VINOD KUMAR,Jansatta Dal Loktantrik,66996,286,67282,40.34,Babaganj,245
VINOD KUMAR,Independent,1050,0,1050,0.63,Babaganj,245
SITA RAM,Independent,1120,0,1120,0.67,Babaganj,245
NOTA,None of the Above,1955,4,1959,1.17,Babaganj,245
AJAY KUMAR,Bharatiya Janata Party,72057,164,72221,35.15,Baberu,233
GAJENDRA SINGH  PATEL,Indian National Congress,2105,7,2112,1.03,Baberu,233
Dr. RAM CHANDRA SARAS,Communist Party of India,1588,1,1589,0.77,Baberu,233
RAMSEVAK SHUKLA,Bahujan Samaj Party,36892,117,37009,18.01,Baberu,233
VISHAMBHAR SINGH YADAV,Samajwadi Party,79093,521,79614,38.75,Baberu,233
ASHOK KUMAR,Jan Adhikar Party,4449,9,4458,2.17,Baberu,233
JAGROOP BHASKAR,Ambedkar Samaj Party,585,0,585,0.28,Baberu,233
JAYPAL,Bharat Swabhiman Party,504,0,504,0.25,Baberu,233
